id;title;release_dates;publisher;dev;support_dev;genres;game_modes;themes;mult_modes;game_eng;series;perspective;crit_score;user_score
94;ace-combat-6-fires-of-liberation;Oct 23, 2007 - Xbox 360;Bandai Namco Entertainment;Project Aces;;Arcade, Simulator;Multiplayer, Single player;Action, Fantasy, Historical, Warfare;Xbox 360: Offline Co-op max players: 0, Online Co-op max players: 4, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;Ace Combat;Third person;80;7,9
95;ace-combat-7-skies-unknown;"Jan 18, 2019 - PlayStation 4; Jan 18, 2019 - Xbox One; Feb 01, 2019 - PC (Microsoft Windows)";Bandai Namco Entertainment;Project Aces;;Simulator;Multiplayer, Single player;Action, Warfare;;Unreal Engine;Ace Combat;First person, Third person, Virtual Reality;80;8,1
96;ace-combat-advance;Feb 22, 2005 - Game Boy Advance;Namco;Humansoft;;Shooter, Simulator;Single player;Action, Warfare;;;Ace Combat;;56;7,5
97;ace-combat-assault-horizon;"Oct 11, 2011 - PlayStation 3; Oct 13, 2011 - Xbox 360";Bandai Namco Entertainment;Project Aces;;Shooter, Simulator, Strategy;Multiplayer, Single player;Action;Xbox 360: Offline Co-op max players: 0, Online Co-op max players: 3, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;Ace Combat;Third person;78;6,2
98;ace-combat-assault-horizon-enhanced-edition;Jan 24, 2013 - PC (Microsoft Windows);Bandai Namco Games;Project Aces, QLOC;;Shooter, Simulator;Co-operative, Multiplayer, Single player;Action, Warfare;;;Ace Combat;First person, Third person;77;5,9
99;ace-combat-assault-horizon-legacy;Nov 15, 2011 - Nintendo 3DS;Bandai Namco Entertainment;Access Games;;Simulator;Single player;Action, Fantasy, Historical;;;Ace Combat;;71;7,5
100;ace-combat-assault-horizon-legacy+;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;63;5,8
101;ace-combat-infinity;"May 20, 2014 - PlayStation Network; May 20, 2014 - PlayStation 3";Bandai Namco Entertainment;Project Aces;;Arcade, Simulator;Multiplayer, Single player;Action, Science fiction, Warfare;;;Ace Combat;Third person;54;5,8
102;ace-combat-joint-assault;Aug 31, 2010 - PlayStation Portable;Namco Bandai Games;Project Aces;;Shooter, Simulator, Strategy;;Action;PlayStation Portable: Offline Co-op max players: 0, Online Co-op max players: 4, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op  yes, Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ;;Ace Combat;Third person;71;7,4
103;ace-combat-x-skies-of-deception;Oct 24, 2006 - PlayStation Portable;Namco, Sony Interactive Entertainment, Bandai Namco Entertainment;Namco, Access Games;;Simulator;;Action, Warfare;;;Ace Combat;;75;8,1
104;ace-combat-zero-the-belkan-war;Mar 23, 2006 - PlayStation 2;Bandai Namco Holdings;Namco;;Simulator;Multiplayer, Single player;Action, Warfare;;;Ace Combat;Third person;75;8,5
105;ace-of-spades;"Dec 12, 2012 - Mac; Dec 12, 2012 - PC (Microsoft Windows)";Jagex Ltd. Games Studio;;;Indie, Shooter;Co-operative, Multiplayer;Action;;;;First person;49;5,2
106;aces-of-the-galaxy;"Jun 04, 2008 - Xbox Live Arcade; Jun 04, 2008 - PC (Microsoft Windows)";Artech Studios;Activision;;Shooter;Single player;Action, Science fiction;Xbox 360: Offline Co-op max players: 2, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ;;;;71;7,3
107;aces-of-the-luftwaffe-squadron;Nov 17, 2017 - Nintendo Switch;HandyGames;;;Indie, Shooter;Co-operative, Multiplayer, Single player;Action;;;;;71;7
108;achron;"Aug 29, 2011 - Mac; Aug 29, 2011 - Linux; Aug 29, 2011 - PC (Microsoft Windows)";Hazardous Software Inc.;Hazardous Software Inc.;;Indie, Puzzle, Real Time Strategy (RTS), Strategy;Multiplayer, Single player;Science fiction;;;;;54;7,4
109;achtung-cthulhu-tactics;"Oct 04, 2018 - PC (Microsoft Windows); Nov 20, 2018 - PlayStation 4; Nov 23, 2018 - Xbox One; Jan 24, 2019 - Nintendo Switch";Ripstone;Auroch Digital;;Indie, Role-playing (RPG), Strategy;Single player;Action;;;;Bird view / Isometric;60;tbd
110;a-city-sleeps;"Sep 04, 2014 - Mac; Sep 04, 2014 - PC (Microsoft Windows)";Harmonix Music Systems;Harmonix Music Systems;;Indie;Single player;Action;;;;;61;6,2
111;acorn-tactics;Dec 07, 2017 - Nintendo Switch;TACS Games;TACS Games;;Puzzle, Simulator, Strategy;Single player;Action, Science fiction;;;;Bird view / Isometric;51;tbd
112;action-bass;Aug 14, 2000 - PlayStation;;;;Sport;;Action;;;;;51;tbd
113;action-henk;"May 11, 2015 - Mac; May 11, 2015 - Linux; May 11, 2015 - PC (Microsoft Windows); Mar 04, 2016 - Xbox One; Mar 08, 2016 - PlayStation Network; Jun 30, 2016 - PlayStation 3; Sep 30, 2016 - PlayStation Vita; Sep 30, 2016 - PlayStation 4; Sep 30, 2016 - Wii U";RageSquid;RageSquid, Curve Digital;;Indie, Platform, Racing, Sport;Multiplayer, Single player;Action, Comedy;Xbox One: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 0, Offline max players: 4, Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;Unity;;Side view;74;7,5
114;active-life-extreme-challenge;Aug 11, 2009 - Wii;Bandai Namco Entertainment;Bandai Namco Entertainment;;Sport;Single player, Split screen;;;;Active Life;;56;tbd
115;active-soccer-2-dx;Mar 30, 2016 - Xbox One;;;;Sport;Co-operative, Multiplayer;;Xbox One: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 0, Offline max players: 8, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;;;53;6,9
116;activision-anthology;;Activision;;;Racing, Simulator, Sport, Strategy;;Action;;;;;79;6
117;activision-hits-remixed;;;;;Racing, Simulator, Sport, Strategy;;Action;;;;;75;tbd
118;act-of-aggression;Sep 02, 2015 - PC (Microsoft Windows);Focus Home Interactive;Eugen Systems;;Indie, Quiz/Trivia, Real Time Strategy (RTS), Strategy;Co-operative, Multiplayer, Single player;Comedy, Science fiction, Warfare;PC (Microsoft Windows): Offline Co-op max players: 0, Online Co-op max players: 4, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op  yes, Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;;Bird view / Isometric;71;7,1
119;act-of-war-direct-action;Mar 15, 2005 - PC (Microsoft Windows);Atari;Eugen Systems;;Real Time Strategy (RTS), Strategy;Multiplayer, Single player;Action, Warfare;;;Act of War;Bird view / Isometric;82;7,8
120;act-of-war-high-treason;Mar 24, 2006 - PC (Microsoft Windows);Atari;Eugen Systems;;Real Time Strategy (RTS), Strategy;Multiplayer, Single player;Action, Warfare;;;Act of War;Bird view / Isometric;74;7,5
121;actual-sunlight;"Jan 03, 2013 - PC (Microsoft Windows); Aug 11, 2015 - PlayStation Network; Aug 11, 2015 - PlayStation Vita; Jan 28, 2020 - Nintendo Switch";Will O'Neill, WZOGI;Will O'Neill, WZO Games;;Adventure, Indie;Single player;;;RPG Maker VX Ace;;;75;6,1
122;adr1ft;"Mar 28, 2016 - PC (Microsoft Windows); Jun 15, 2016 - PlayStation 4; Dec 31, 2016 - Xbox One";505 Games;Three One Zero;;Adventure, Indie, Puzzle;Single player;Science fiction;;Unreal Engine;;First person, Virtual Reality;64;5,3
123;adrenalin-misfits;Dec 04, 2010 - Xbox 360;;;;Racing, Sport;;Action;;;;;50;tbd
124;advance-guardian-heroes;Sep 14, 2004 - Game Boy Advance;Treasure, Ubisoft Entertainment;Treasure;;Hack and slash/Beat 'em up, Role-playing (RPG);Co-operative, Single player;Action;;;Guardian Heroes;Side view;65;tbd
125;advance-wars;"Sep 10, 2001 - Game Boy Advance; Apr 03, 2014 - Wii U";Nintendo;Intelligent Systems Co., Ltd.;;Simulator, Strategy, Tactical, Turn-based strategy (TBS);Multiplayer, Single player;Action, Science fiction, Warfare;;;Advance Wars;Bird view / Isometric;92;8,9
126;advance-wars-2-black-hole-rising;"Jun 24, 2003 - Game Boy Advance; Apr 03, 2014 - Wii U";Nintendo;Intelligent Systems Co., Ltd.;;Strategy, Tactical, Turn-based strategy (TBS);Multiplayer, Single player;Action, Science fiction, Warfare;;;Advance Wars;Bird view / Isometric;89;8,9
127;advance-wars-days-of-ruin;"Jan 21, 2008 - Nintendo DS; Oct 30, 2013 - Nintendo DSi";Nintendo;Intelligent Systems Co., Ltd.;;Strategy, Turn-based strategy (TBS);Single player;Warfare;Nintendo DS: Offline Co-op max players: 0, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op  yes, Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;Advance Wars;Bird view / Isometric;86;8,6
128;advance-wars-dual-strike;"Jun 23, 2005 - Nintendo DS; Mar 03, 2016 - Wii U";Nintendo;Intelligent Systems Co., Ltd.;;Strategy, Tactical, Turn-based strategy (TBS);Multiplayer, Single player;Science fiction, Warfare;;;Advance Wars;Bird view / Isometric, Side view;90;8,9
129;advent-rising;"May 31, 2005 - Xbox; May 31, 2005 - PC (Microsoft Windows)";Majesco Entertainment;GlyphX Games;Demiurge Studios;Adventure, Shooter;Single player;Action, Science fiction;;Unreal Engine;;Third person;70;8,6
130;adventure-island-the-beginning;"Apr 07, 2009 - WiiWare; May 07, 2009 - Wii";;;;Adventure, Platform;Single player;Action;;;Adventure Island;;60;tbd
131;adventure-pinball-forgotten-island;Mar 21, 2001 - PC (Microsoft Windows);Electronic Arts;Digital Extremes;;Pinball;Multiplayer, Single player;Comedy;;Unreal Engine;;Bird view / Isometric;60;7
132;adventures-of-mana;"Feb 04, 2016 - Android; Feb 04, 2016 - PlayStation Vita; Feb 04, 2016 - iOS; Jun 28, 2016 - PlayStation Network";Square Enix;Square Enix;;Adventure, Hack and slash/Beat 'em up, Role-playing (RPG);Single player;Action, Fantasy;;;Mana;Bird view / Isometric;66;8,4
133;adventures-of-pip;"Jun 04, 2015 - Mac; Jun 04, 2015 - PC (Microsoft Windows); Jun 04, 2015 - Wii U; Jul 02, 2015 - iOS; Aug 18, 2015 - PlayStation Network; Aug 18, 2015 - PlayStation 4; Aug 21, 2015 - Xbox One";Tic Toc Games;Tic Toc Games;;Adventure, Indie, Platform;Single player;Action;;;;Side view;78;7,7
134;adventures-to-go;Nov 27, 2009 - PlayStation Portable;;;;Adventure, Fighting, Role-playing (RPG);;Action;;;AdventureQuest;;58;7,5
135;adventure-time-finn-and-jake-investigations;"Oct 01, 2015 - PlayStation 3; Oct 01, 2015 - Nintendo 3DS; Oct 01, 2015 - PlayStation 4; Oct 01, 2015 - Xbox One; Oct 01, 2015 - PC (Microsoft Windows); Oct 01, 2015 - Xbox 360; Oct 01, 2015 - Wii U";Little Orbit;Vicious Cycle Software;;Adventure, Role-playing (RPG);Single player;Action, Comedy, Fantasy, Kids;;;Adventure Time;Third person;66;5,5
136;adventure-time-pirates-of-the-enchiridion;"Jul 17, 2018 - PlayStation 4; Jul 17, 2018 - Xbox One; Jul 17, 2018 - PC (Microsoft Windows); Jul 17, 2018 - Nintendo Switch";Outright Games;Climax Studios;;Adventure, Role-playing (RPG);Single player;Action, Open world;;;Adventure Time;;62;6,2
137;aedis-eclipse-generation-of-chaos;May 25, 2006 - PlayStation Portable;;;;Role-playing (RPG), Strategy;;;;;;;62;6,2
138;aegis-defenders;"Feb 08, 2018 - Nintendo Switch; Dec 31, 2018 - Mac; Dec 31, 2018 - PC (Microsoft Windows)";GUTS Department;GUTS Department;;Adventure, Indie, Platform, Role-playing (RPG), Strategy;Co-operative, Multiplayer, Single player;Action, Fantasy, Science fiction;;;;Side view;76;tbd
139;aegis-of-earth-protonovus-assault;"Jul 02, 2015 - PlayStation Vita; Jul 02, 2015 - PlayStation 4";Aksys Games, ACQUIRE Corp., PQube;ACQUIRE Corp.;;Puzzle, Real Time Strategy (RTS), Role-playing (RPG), Strategy;Single player;Action;;;;;57;6,4
140;aegis-wing;May 16, 2007 - Xbox Live Arcade;Microsoft Game Studios;Carbonated Games;;Adventure, Shooter;Co-operative, Multiplayer, Single player;Action, Science fiction;Xbox 360: Offline Co-op max players: 4, Online Co-op max players: 4, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes;;;Side view;58;7
141;aeon-flux;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;69;2,4
142;aerea;"Jun 02, 2017 - Mac; Jun 02, 2017 - Linux; Jun 02, 2017 - PC (Microsoft Windows); Jun 30, 2017 - PlayStation 4; Sep 30, 2017 - Xbox One";SOEDESCO Publishing;Triangle Studios;;Adventure, Indie, Role-playing (RPG);Co-operative, Multiplayer, Single player, Split screen;Action;;;;Bird view / Isometric;50;4
143;aerial-strike-the-yager-missions;;;;;Shooter;;Science fiction;;;;;62;tbd
144;aer-memories-of-old;"Oct 25, 2017 - Mac; Oct 25, 2017 - PlayStation 4; Oct 25, 2017 - Xbox One; Oct 25, 2017 - Linux; Oct 25, 2017 - PC (Microsoft Windows); Aug 28, 2019 - Nintendo Switch";Daedalic Entertainment;Forgotten Key;;Adventure, Indie;Single player;Fantasy;;Unity;;Third person;71;6,9
145;aero-elite-combat-academy;Jul 11, 2002 - PlayStation 2;Sega Games, SEGA of America;Sega AM2;;Simulator;Multiplayer, Single player;;;;AeroWings;First person, Third person;64;7,5
146;aero-porter;Nov 29, 2012 - Nintendo eShop;Level-5;;;Puzzle;;;;;;;70;7,4
147;aero-racer;Apr 11, 2010 - PlayStation Portable;;;;Racing;;Science fiction;;;;;65;6,2
148;aero-the-acro-bat;"Aug 01, 1993 - Super Nintendo Entertainment System (SNES); Aug 01, 1993 - Sega Mega Drive/Genesis; Jun 21, 2002 - Game Boy Advance";Sunsoft, Metro 3D, Zoo Digital;Iguana Entertainment, Atomic Planet Entertainment;;Platform, Sport;Single player;Action, Comedy;;;Aero the Acro-Bat;Side view;71;8,5
149;aerowings-2-air-strike;;;;;Shooter, Simulator;;;;;AeroWings;;74;7,9
150;aeternoblade;"Feb 18, 2014 - Nintendo 3DS; Feb 04, 2015 - PlayStation Network; Aug 29, 2017 - Xbox One; Feb 01, 2018 - Nintendo Switch";Corecell Technology;Corecell Technology;;Adventure;Single player;Action;;;AeternoBlade;Side view;59;6,6
151;aeternoblade-ii;Oct 05, 2019 - Xbox One;PQube;Corecell Technology;;Adventure;Single player;Action;;;AeternoBlade;Side view;44;4,8
152;affordable-space-adventures;Apr 09, 2015 - Wii U;KnapNok Games;Nifflas Games, KnapNok Games;;Adventure, Indie, Puzzle;Co-operative, Single player;Science fiction;"Wii U: Offline Co-op max players: 3, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes; All platforms: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ";;;Side view;81;8,1
153;a-fistful-of-gun;Sep 23, 2016 - PC (Microsoft Windows);Devolver Digital;FarmerGnome;;Indie;Co-operative, Multiplayer, Single player;Action;PC (Microsoft Windows): Offline Co-op max players: 9, Online Co-op max players: 9, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;Multimedia Fusion;;;60;7,6
154;a-fold-apart;"Dec 31, 2020 - iOS; Dec 31, 2020 - PlayStation 4; Dec 31, 2020 - Xbox One; Dec 31, 2020 - PC (Microsoft Windows); Dec 31, 2020 - Nintendo Switch";Lightning Rod Games;Lightning Rod Games;;Adventure, Indie, Platform, Puzzle, Strategy;Single player;Drama;;;;Side view;77;tbd
155;afrika;Aug 28, 2008 - PlayStation 3;Sony Interactive Entertainment, Natsume;Rhino Studios;;Simulator;Single player;;;;;First person, Third person;63;6,2
156;afro-samurai;"Jan 27, 2009 - PlayStation 3; Jan 27, 2009 - Xbox 360";Surge;Bandai Namco Entertainment;;Hack and slash/Beat 'em up;Single player;Action;;;Afro Samurai;Third person;65;6,3
157;afro-samurai-2-revenge-of-kuma-volume-one;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;21;2,8
158;after-burner-black-falcon;Apr 20, 2007 - PlayStation Portable;;;;Shooter, Simulator;;Action;;;After Burner;;73;6,8
159;after-burner-climax;"Dec 01, 2006 - Arcade; Apr 21, 2010 - PlayStation 3; Apr 21, 2010 - Xbox 360";;Sega AM2;;Arcade, Simulator;Single player;Action;;;After Burner;Third person;75;6,7
160;aftercharge;"Jan 10, 2019 - Xbox One; Jan 10, 2019 - PC (Microsoft Windows); Dec 31, 2019 - Nintendo Switch";Chainsawesome Games;Chainsawesome Games;;Indie, Shooter;Multiplayer;Action, Stealth;"Xbox One: Offline Co-op max players: , Online Co-op max players: 3, Online max players: 6, Offline max players: , Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ; Nintendo Switch: Offline Co-op max players: , Online Co-op max players: 3, Online max players: 6, Offline max players: , Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ; Offline Co-op max players: , Online Co-op max players: 3, Online max players: 6, Offline max players: , Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ; Offline Co-op max players: , Online Co-op max players: 3, Online max players: 6, Offline max players: , Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ; Offline Co-op max players: , Online Co-op max players: 3, Online max players: 6, Offline max players: , Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ";;;First person;69;5,5
161;afterfall-insanity;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;50;5,9
162;afterparty;"Oct 29, 2019 - PlayStation; Oct 29, 2019 - Mac; Oct 29, 2019 - Xbox One; Oct 29, 2019 - PC (Microsoft Windows); Mar 06, 2020 - Nintendo Switch";Night School Studio;Night School Studio;;Adventure, Indie, Role-playing (RPG);Single player;Comedy, Fantasy, Mystery;;Unity;;Side view;75;7
163;again-interactive-crime-novel;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;52;6,8
164;a-game-of-dwarves;Oct 27, 2012 - PC (Microsoft Windows);Paradox Interactive;Zeal Game Studio;;Real Time Strategy (RTS), Strategy;Single player;Comedy, Fantasy;;;;Bird view / Isometric;60;6,5
165;a-game-of-thrones-genesis;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;53;4,1
166;agatha-christie-and-then-there-were-none;"Sep 30, 2005 - PC (Microsoft Windows); Feb 08, 2008 - Wii";The Adventure Company;AWE Productions;;Adventure;Single player;;;;Agatha Christie;;68;7,6
167;agatha-christie-evil-under-the-sun;"Oct 16, 2007 - Wii; Oct 16, 2007 - PC (Microsoft Windows)";The Adventure Company;AWE Productions;;Adventure;Single player;;;;Agatha Christie;;66;7,2
168;agatha-christie-murder-on-the-orient-express;Dec 26, 2006 - PC (Microsoft Windows);;;;Adventure, Point-and-click;Single player;Drama, Historical, Thriller;;;Agatha Christie;Auditory, Third person;60;7,5
169;agatha-christie-the-abc-murders;"Nov 04, 2009 - Nintendo DS; Nov 12, 2009 - Nintendo 3DS; Feb 04, 2016 - PlayStation 4; Feb 23, 2016 - Xbox One";DreamCatcher Interactive;Black Lantern Studios;;Adventure, Puzzle;Single player;Mystery;;;Agatha Christie;Third person;66;8,5
170;agent-a-a-puzzle-in-disguise;"Oct 28, 2015 - iOS; Oct 29, 2015 - Android; Aug 29, 2019 - PlayStation 4; Aug 29, 2019 - Xbox One; Aug 29, 2019 - PC (Microsoft Windows); Aug 29, 2019 - Nintendo Switch";Yak & co;Yak & co;;Adventure, Indie, Puzzle;Single player;Mystery;;Unity;;;79;8,3
